Date,User,Message
2022-10-04 18:09:59,"./NLP","일단 기회 두번 남아서 최대한 사릴려구요"
2022-10-04 18:10:53,"산산/recsys","3번 안에 통과 못하면 패널티가 있나요?"
2022-10-04 18:12:27,"읭읭이 CV","차피 틀려도 괜찮지 않나요?"
2022-10-04 18:14:18,"NEURIPS/NLP","틀리면"
2022-10-04 18:14:20,"NEURIPS/NLP","기분이나쁘다정도"
2022-10-04 18:15:12,"멋쩍은 튜브/CV","질의응답 게시판에 공지올라왔네요"
2022-10-04 19:09:42,"멋쩍은 튜브/CV","이거 혹시 맞추셨나요?"
2022-10-04 19:10:20,"치맥하는 제이지/cv","[숫자, 숫자, 숫자, 숫자] 형식으로 올리시면 돼요~"
2022-10-04 19:14:38,"멋쩍은 튜브/CV","계산이 틀렸나 보내요 :sweat_smile:
자꾸 틀리는거 보니~"
2022-10-05 16:20:13,"./NLP","공백이슈였네요..."
2022-10-05 17:07:56,"멋쩍은 튜브/CV","ㅠㅠ"
2022-10-05 17:19:58,"cv","rnn 퀴즈 맞추신분 있나요??"
2022-10-05 17:23:16,"./NLP","저 맞췄어요"
2022-10-05 17:33:47,"까롱까롱마까롱","저희 첫 장려금 대충 언제쯤 들어올까요.."
2022-10-05 17:34:39,"리듬타는/CV","한 1.5달 뒤에 들어오지 않을까요..."
2022-10-05 17:35:35,"NEURIPS/NLP","9월분량 11월즈음에들어올것같아요"
2022-10-05 17:36:29,"네카라쿠배/CV","돈이 없어서 치킨을 끊었습니다"
2022-10-05 17:36:55,"기뻐하는 라이언/cv","데미지가 조금 큰데요?"
2022-10-05 17:37:40,"S/CV","얼만지 혹시 아시는분?"
2022-10-05 17:38:14,"NEURIPS/NLP","20만원아닌가요?"
2022-10-05 17:38:20,"NEURIPS/NLP","그즈음이었던것같은데"
2022-10-05 17:40:06,"S/CV","글쿤여"
2022-10-05 17:41:31,"소심한 네오/CV","부스트캠퍼 가이드에 자세하게 나와있어요!"
2022-10-05 17:45:56,"말하는감자/RecSys","카드 발급 못받아서 일반으로 했는데"
2022-10-05 17:46:03,"말하는감자/RecSys","장려금 받을 시기가 되니까 살짝 아쉽네요... ㅋㅋ"
2022-10-05 18:44:33,"recsys","rnn퀴즈 [숫자,공백숫자,공백숫자,공백숫자] 인가요?"
2022-10-05 18:45:03,"./NLP"," 네 , 사이에 공백 있어야 돼요"
2022-10-05 18:45:39,"recsys","숫자가 깔끔하게 떨어지나요 ..?"
2022-10-05 18:46:04,"./NLP","x.x로 나와요"
2022-10-05 18:46:13,"recsys","아하.."
2022-10-05 18:46:17,"recsys","계산을 잘못했나봐요"
2022-10-05 18:46:19,"recsys","ㅋㅋㅋ"
2022-10-05 19:19:41,"말하는감자/RecSys","rnn 퀴즈 뭐가 문제였나 했더니"
2022-10-05 19:19:52,"말하는감자/RecSys","exp(2) = 8로 계산하라고 되어있었네요...."
2022-10-05 19:31:33,"S/CV","잘안되네요.."
2022-10-05 19:38:35,".recsys","i에 해당하는 쿼리와 모든 key 전부다 내적한뒤에 dk 제곱근으로 나누고 각각 소프트맥스, 그것들 전부 value곱한 것들을 더해서 벡터형태로!"
2022-10-05 19:41:58,"recsys","강의에 나오는 내용을 다시 천천히 복기해보세요 !"
2022-10-05 19:42:34,"말하는감자/RecSys","다들 공부는 잘 되어가시나요?"
2022-10-05 19:42:48,"산산/recsys","힘드러용"
2022-10-05 19:42:51,"산산/recsys","이모티콘"
2022-10-05 19:45:49,"헤헤헤/Recsys","개인적으로 수능 공부 했던 것보다 빡세네요.. 잘 하고 있는지 감도 안 오고"
2022-10-05 19:47:30,"트롤킹/CV","전 아예 시간에 쫒겨서 이해도 못하고 넘어가는중"
2022-10-05 19:47:38,"S/CV","감사합니다.."
2022-10-05 19:57:24,"말하는감자/RecSys","이해하고 넘어가고싶어도"
2022-10-05 19:57:35,"말하는감자/RecSys","시간이 부족해서 저도 찜찜하네요..."
2022-10-05 19:57:41,"산산/recsys","이해하느라 이제야 5강"
2022-10-05 19:57:44,"산산/recsys","다들을수있을지"
2022-10-05 19:57:56,"산산/recsys","모르겠네요ㅠ"
2022-10-05 20:03:36,"애플펜슬/cv","이번주껀 딱히 이해할건 없지 않나용"
2022-10-05 20:03:44,"애플펜슬/cv","전 이번주는 설렁설렁 그렇구나 하고 넘어가는 중이에여"
2022-10-05 20:04:57,"멋쩍은 튜브/CV","generative 잘 이해가..."
2022-10-05 20:05:18,"수학잘하고파/RecSys","9,10강 이해가 안돼네요.."
2022-10-05 20:06:28,"산산/recsys","이해할게 넘치던데요 저는 ㅜㅜ"
2022-10-05 20:06:33,"산산/recsys","옵티마이저부터 시작해서"
2022-10-05 20:06:51,"산산/recsys","힝"
2022-10-05 20:08:00,"산산/recsys","제가좀 펀데멘탈한게 부족한거같긴해요"
2022-10-05 20:11:06,"방장/CV","한 번 전체 훑어보는게 중요한것 같아요 현업에서도 어차피 다 모르고 막상 일이 주어졌을때 집중 공부할겁니다"
2022-10-05 21:12:08,"하하/recsys","방장님 궁금한데 원래 recsys로 지원하려고 하지 않았나요? 기억하기로는 그랫던 것 같아서요 ㅎㅎ"
2022-10-05 21:12:53,"하하/recsys","저는 일단 옵티머이저 건너뛰고"
2022-10-05 21:13:02,"하하/recsys","다른거부터 보는중입니다;"
2022-10-05 21:13:37,"하하/recsys","심화과제 설명이 생성 모델이라 생성을 빨리 봐야겟어요.. ㅠ"
2022-10-05 21:15:23,"에넬피 / nlp","rnn 과제 1번 해설해주실 분 계신가요 .. ?"
2022-10-05 21:33:55,"산산/recsys","엇 그러게요 방장님 recsys셨떤 거 같은데,,,"
2022-10-05 21:34:19,"말하는감자/RecSys","Rnn1번 어떤게 궁금하신가요?"
2022-10-05 21:34:21,"산산/recsys","생각은 나중에, 메모만 해놓고 넘어가야겠어요 ㅜㅜㅠ"
2022-10-05 21:35:58,"에넬피 / nlp","세번 다 틀렸는데 왜 저게 틀린 말인지 궁금합니다 …"
2022-10-05 21:39:05,"말하는감자/RecSys","output gate의 경우에는 cell state를 업데이트하지 않아요.
input gate와 forget gate를 통해 cell state가 업데이트되고
업데이트된 cell state가 연산되는게 output gate입니다!"
2022-10-05 21:56:44,"에넬피 / nlp","아아 이해되었습니다! 감사합니당"
2022-10-05 21:58:45,"말하는감자/RecSys","이모티콘"
2022-10-05 22:01:51,"NEURIPS/NLP","혹시근데 오픈톡방명 바꿔주실수있나요"
2022-10-05 22:01:57,"NEURIPS/NLP","캠츠가 너무거슬려요"
2022-10-05 22:02:02,"말하는감자/RecSys","ㅋㅋㅋㅋㅋㅋ"
2022-10-05 22:02:10,"V / CV","헉..저두요 ㅎㅎ"
2022-10-05 22:02:18,"NEURIPS/NLP","저만그런게아니었네요"
2022-10-05 22:02:21,"NEURIPS/NLP","ㅋㅋㅋㅋㅋㅋㅋㅋ"
2022-10-05 22:03:03,"하하/recsys","엌ㅋㅋ"
2022-10-05 22:03:27,"수학잘하고파/RecSys","역시 nlp ㄷㄷ"
2022-10-05 22:08:29,"하하/recsys","킹갓  nlp"
2022-10-05 23:57:05,"산산/recsys","ㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
2022-10-06 01:03:53,"기뻐하는 라이언/cv","아..몰랏는데..이제 거슬리네요,,"
2022-10-06 01:06:09,"부탁하는 네오/RecSys","편ㅡ안"
2022-10-06 01:06:51,"NEURIPS/NLP","편안해졌네요"
2022-10-06 01:06:55,"NEURIPS/NLP","감사합니다"
2022-10-06 01:07:04,"부탁하는 네오/RecSys","내일도 화이팅!"
2022-10-06 01:09:05,"recsys","파이팅"
2022-10-06 22:57:33,"수학잘하고파/RecSys","팀원 다들 어떤생각이신가요??"
2022-10-06 22:57:51,"수학잘하고파/RecSys","나름 익명이니 편하게 말해도 좋을것같아요"
2022-10-06 22:58:30,"말하는감자/RecSys","지금 팀원 좋긴 한데"
2022-10-06 22:58:38,"말하는감자/RecSys","다른분들도 만나뵙고싶어서"
2022-10-06 22:58:48,"말하는감자/RecSys","level2에는 다른 팀으로 구할거같아요 저는"
2022-10-06 22:59:04,"수학잘하고파/RecSys","ㅋㅋㅋ 저는 팀원 못구할까봐"
2022-10-06 22:59:08,"수학잘하고파/RecSys","걱정됩니다"
2022-10-06 22:59:45,"말하는감자/RecSys","팀원 구하는 채널도 만들어졌던데"
2022-10-06 22:59:49,"말하는감자/RecSys","거기서 어필해야겠어요 ㅋㅋ"
2022-10-06 23:00:05,"수학잘하고파/RecSys","네 그것때문에 "
2022-10-06 23:00:07,"./NLP","Pr할게 없어서 큰일났어요..."
2022-10-06 23:00:08,"산산/recsys","다른사람들도만나보고싶긴해요"
2022-10-06 23:00:15,"수학잘하고파/RecSys","이제 신경쓰이네요"
2022-10-06 23:00:15,"산산/recsys","지금팀도좋지만"
2022-10-06 23:00:36,"헤헤헤/Recsys","어필할 만한 장점이 없어서 큰일입니다"
2022-10-06 23:00:45,"수학잘하고파/RecSys","아무래도 최종프로젝트까지 같이갈분들이라"
2022-10-06 23:00:55,"수학잘하고파/RecSys","기존팀도 좋지만"
2022-10-06 23:00:56,"./NLP","진짜 쌩초보라"
2022-10-06 23:01:05,"수학잘하고파/RecSys","좀더 알아보고싶네요"
2022-10-06 23:01:14,"ㅇㅇ/cv","저도 초보라 팀원으로 받아달라 하는것도"
2022-10-06 23:01:16,"ㅇㅇ/cv","부담이네요"
2022-10-06 23:01:23,"./RecSys","저도요ㅠ"
2022-10-06 23:01:26,"./RecSys","어떻게 어필해야할지.."
2022-10-06 23:01:35,"ㅇㅇ/cv","열정 밖에 없는데"
2022-10-06 23:01:46,"산산/recsys","저두요ㅎㅋㅎㅋㅋ"
2022-10-06 23:01:46,"수학잘하고파/RecSys","다들 원하는 기준이 있으신가요"
2022-10-06 23:01:46,"말하는감자/RecSys","열정이면 충분하죠!"
2022-10-06 23:01:47,"ㅇㅇ/cv","지금 3 4주 배운걸로"
2022-10-06 23:01:49,"ㅇㅇ/cv","어필하기도"
2022-10-06 23:01:52,"ㅇㅇ/cv","좀 그렇고"
2022-10-06 23:01:52,"멋쟁이 프로도/CV","근데 그 팀원구하는 글은 어디에 쓰는거에요? 그 공지글에 댓글다는건가요"
2022-10-06 23:01:56,"ㅇㅇ/cv","아뇨"
2022-10-06 23:01:57,"ㅇㅇ/cv","슬랙"
2022-10-06 23:01:58,"ㅇㅇ/cv","에"
2022-10-06 23:02:01,"ㅇㅇ/cv","올리는거슈같던데요?"
2022-10-06 23:02:03,"말하는감자/RecSys","슬랙 채널이 새로 파졌어요"
2022-10-06 23:02:03,"./NLP","게시판에 쓰는거에요"
2022-10-06 23:02:05,"멋쟁이 프로도/CV","아 슬랙 게시판에..?"
2022-10-06 23:02:06,"수학잘하고파/RecSys","그 게시판에 글쓰는거같아요"
2022-10-06 23:02:08,"./NLP","슬랙은 옵셔널"
2022-10-06 23:02:11,"ㅇㅇ/cv","아하"
2022-10-06 23:02:14,"수학잘하고파/RecSys","슬랙은 보조도구인듯"
2022-10-06 23:02:15,"ㅇㅇ/cv","그렇네요"
2022-10-06 23:02:23,"멋쟁이 프로도/CV","아니 템플릿은 알려줬는데 어디에 쓰라고 안되어있어서ㅌㅋ"
2022-10-06 23:02:25,"ㅇㅇ/cv","4개가 새로 생겨서"
2022-10-06 23:02:27,"ㅇㅇ/cv","게시판이"
2022-10-06 23:02:41,"수학잘하고파/RecSys","저는 소통잘되는게 중요한듯요"
2022-10-06 23:02:53,"ㅇㅇ/cv","근데 제가 팀원을 구하는 입장이여도"
2022-10-06 23:02:55,"산산/recsys","저는 졸업이 아직 좀 남아서 부캠이후에도 같이 공부할수있는 사람이었으면 좋겧어요
이번 플젝도 중요하긴하지만.."
2022-10-06 23:03:00,"ㅇㅇ/cv","입문자 받기가 조금 껄끄러울 것 같긴해요"
2022-10-06 23:03:01,"ㅇㅇ/cv","ㅠ"
2022-10-06 23:03:08,"말하는감자/RecSys","저는 현 실력보다는"
2022-10-06 23:03:16,"말하는감자/RecSys","목표가 같으면 좋을거같아요"
2022-10-06 23:03:23,"수학잘하고파/RecSys","저도 잘하는 입장이 아니라 같이 실력 키우고싶어요 비슷한분들끼리"
2022-10-06 23:03:35,"말하는감자/RecSys","제 마인드는"
2022-10-06 23:03:51,"산산/recsys","오... 이것도 중요하겠네요 ㄷㄷ"
2022-10-06 23:03:55,"말하는감자/RecSys","부캠 참여자는 다 비슷비슷한 실력일거다
만약 실력자가 부캠에 들어왔다면 그건 그 사람 잘못이다"
2022-10-06 23:03:57,"산산/recsys","취업인지 대학웡인지 그런거"
2022-10-06 23:04:01,"말하는감자/RecSys","라고 생각하니까"
2022-10-06 23:04:10,"말하는감자/RecSys","제가 좀 못하더라도 그렇게 부끄럽지 않더라고요 ㅋㅋ"
2022-10-06 23:04:12,"ㅇㅇ/cv","오"
2022-10-06 23:04:14,"ㅇㅇ/cv","마인드 멋지네요"
2022-10-06 23:04:20,"ㅇㅇ/cv","저는 지금 3주차바겡 안됐는데"
2022-10-06 23:04:21,"수학잘하고파/RecSys","네 그것도 맞아요 여기계신분들 다 대단하십니다"
2022-10-06 23:04:25,"ㅇㅇ/cv","벌써 허덕여서"
2022-10-06 23:04:30,"ㅇㅇ/cv","하 나란 새끼"
2022-10-06 23:04:33,"ㅇㅇ/cv","이러고 있었는데"
2022-10-06 23:04:34,"ㅇㅇ/cv","ㅋㅋㅋ"
2022-10-06 23:04:34,"산산/recsys","ㅋㅋㅋㅋㅋㅋ"
2022-10-06 23:04:38,"말하는감자/RecSys","다 같이 배우러 들어온건데"
2022-10-06 23:04:42,"말하는감자/RecSys","모르는게 이상한게 아니잖아요 ㅋㅋ"
2022-10-06 23:04:44,"수학잘하고파/RecSys","말안해서 그렇지 다 허덕이고 있을겁니다"
2022-10-06 23:04:51,"말하는감자/RecSys","모르는게 당연한거지"
2022-10-06 23:04:56,"산산/recsys","맞아요"
2022-10-06 23:04:59,"산산/recsys","배우러온건데!"
2022-10-06 23:05:15,"수학잘하고파/RecSys","자기 의견 어필 잘하는사람도 전 좋아요"
2022-10-06 23:05:41,"말하는감자/RecSys","목표에 대해서 더 이야기해보면
취업이 목표인지, 대학원 진학이 목표인지에 따라서 공부 방향도 달라질거라"
2022-10-06 23:05:51,"ㅇㅇ/cv","이젠 관심분야도 적극적으로 찾아봐야겠네요"
2022-10-06 23:05:52,"산산/recsys","오프라인 여부도 중요할까요"
2022-10-06 23:06:01,"ㅇㅇ/cv","뭘 모르는데 관심있다 할 순 없으니까"
2022-10-06 23:06:04,"말하는감자/RecSys","대학원 진학이 목표면 논문 리딩이 많이 들어갈거고"
2022-10-06 23:06:09,"수학잘하고파/RecSys","하고싶은 프로젝트는 뭘적어야할지"
2022-10-06 23:06:13,"수학잘하고파/RecSys","고민됩니다"
2022-10-06 23:06:17,"산산/recsys","이거"
2022-10-06 23:06:18,"말하는감자/RecSys","취업이 목표다 하면 cs공부나 알고리즘 비중이 높아질거고 하다보니까"
2022-10-06 23:06:21,"산산/recsys","다른분들쓰시는거보고"
2022-10-06 23:06:26,"말하는감자/RecSys","전 중요하다고 봐요"
2022-10-06 23:06:27,"산산/recsys","하려구요 ㅋㅅㄱㅋㅋㅋ"
2022-10-06 23:06:34,"말하는감자/RecSys","level3때는"
2022-10-06 23:06:38,"산산/recsys","오... 글쿤욤"
2022-10-06 23:06:42,"ㅇㅇ/cv","처음 누가 적기 시작하면"
2022-10-06 23:06:43,"말하는감자/RecSys","꽤 자주 모여서 이야기해야할거라"
2022-10-06 23:06:48,"ㅇㅇ/cv","다들 따라서 하지 않을까요"
2022-10-06 23:06:52,"ㅇㅇ/cv","ㅋㅋㅋ"
2022-10-06 23:06:55,"산산/recsys","ㅋㅋㅋ 그럴거같아요"
2022-10-06 23:06:57,"말하는감자/RecSys","한분이 지방에 사신다 하면"
2022-10-06 23:07:04,"수학잘하고파/RecSys","네 진짜 2부터는 찐친될듯 ㅋㅋ"
2022-10-06 23:07:06,"말하는감자/RecSys","이거때문에 올라오라고 하기 좀 미안하죠... ㅋㅋ"
2022-10-06 23:07:42,"수학잘하고파/RecSys","다들 의견말해주셔서 감사합니다!"
2022-10-06 23:08:20,"말하는감자/RecSys","이러면 좀 수도권 카르텔 느낌이 나긴 하지만... 어쩔수없죠 ㅠ"
2022-10-06 23:09:03,"수학잘하고파/RecSys","근데 다들 좋으신분들이라"
2022-10-06 23:09:21,"수학잘하고파/RecSys","사소한걸로 갈릴것같아요 말씀하신데로"
2022-10-06 23:10:47,"멋쟁이 프로도/CV","플젝때 오프라인 참여 가능한분들끼리 모일거같긴해요"
2022-10-06 23:12:23,"./NLP","어쩔 수 없죠"
2022-10-06 23:14:41,"수학잘하고파/RecSys","서울집값이 비싼이유군요.."
2022-10-06 23:16:16,"말하는감자/RecSys","혹시 다들 목표가 어떻게 되시나요?"
2022-10-06 23:16:51,"말하는감자/RecSys","톡게시판 '투표': 부캠 이후 계획"
2022-10-06 23:17:17,"./NLP","솔직히 셋다 후보군인데 해보면서 답을 찾아가고 있어요"
2022-10-06 23:17:44,"산산/recsys","저는 산업기능요원으로 가고싶어요"
2022-10-06 23:18:02,"산산/recsys","그럼 스타텁이네요,, ㅎㅎㅋㅎ"
2022-10-06 23:19:12,"네카라쿠배/CV","전 무조건 대학원"
2022-10-06 23:19:22,"수학잘하고파/RecSys","기대가되면서도 플젝 두렵습니다 ㅋㅋ"
2022-10-06 23:19:46,"산산/recsys","산기요 후 대학원 일거같네요"
2022-10-06 23:21:13,"말하는감자/RecSys","그러신 분을 위해서 중복투표를 활성화해뒀습니다 ㅋㅋ"
2022-10-06 23:21:33,"어피치/cv","저도... 진로를 정하기전에 학교부터 다녀야해서 그 중간 과정도 같이 하실분 구하고있어요"
2022-10-06 23:22:32,"산산/recsys","제생각에 아마 꽤되실거같아요 그런분들"
2022-10-06 23:25:27,"말하는감자/RecSys","그런 분들을 위해서 항목 추가도 활성화해두었습니다"
2022-10-06 23:25:30,"말하는감자/RecSys","ㅋㅋㅋ"
2022-10-06 23:27:40,"멋쟁이 프로도/CV","대학원 좋습니다"
2022-10-06 23:28:18,"하하/recsys","인턴 항목 추가했습니다 ㅋ"
2022-10-06 23:28:21,"멋쟁이 프로도/CV","공부하는게 재밋으시면 추천드립니다"
2022-10-06 23:28:22,"멋쟁이 프로도/CV","ㅌㅌㅋ"
2022-10-06 23:28:59,"하하/recsys","부캠하면서 세상에 지식은 엄청 많다고 느끼고 있어요 ㅋㅋㅋㅋ"
2022-10-06 23:29:13,"하하/recsys","지식보다는 정보 ㅇㅇ"
2022-10-06 23:31:25,"멋쟁이 프로도/CV","이론이 많은듯"
2022-10-06 23:31:44,"멋쟁이 프로도/CV","그리고 역시 세상은 수학으로 돌아가는듯한 느낌.."
2022-10-06 23:32:25,"산산/recsys","통계와 수학,,"
2022-10-06 23:32:44,"산산/recsys","이모티콘"
2022-10-06 23:45:19,"하하/recsys","생성 모델 설명하실 때"
2022-10-06 23:45:34,"하하/recsys","그냥 빨리 dalle 사진 보고 싶었음"
2022-10-06 23:45:40,"하하/recsys","뭔소린지 모르겟음"
2022-10-06 23:45:44,"하하/recsys","ㅋㅋㅋㅋ"
2022-10-06 23:45:46,"말하는감자/RecSys","ㅋㅋㅋㅋㅋㅋ"
2022-10-07 00:07:02,"멋쟁이 프로도/CV","진짜 중간 수식부분 넘 힘들었어요.."
2022-10-07 13:05:33,"하하/recsys","아 개어렵다 진짜"
2022-10-07 13:06:08,"S/CV","대가리 깨져요"
2022-10-07 13:06:10,"./RecSys","어떤거 보고 계신가요"
2022-10-07 13:06:16,"하하/recsys","졸라 어렵네 진짜"
2022-10-07 13:06:28,"하하/recsys","생성모델 강의도 개어려운데"
2022-10-07 13:06:51,"하하/recsys","ViT AAE는 진짜 이해가 안 가네요"
2022-10-07 13:07:02,"하하/recsys","그냥 모르는거 투성인듯"
2022-10-07 13:07:11,"./RecSys","저도요"
2022-10-07 13:07:16,"./RecSys","생성모델 강의 들으면서"
2022-10-07 13:07:40,"하하/recsys","진짜 속으로 개어렵다×100 반복 중"
2022-10-07 13:07:45,"./RecSys","이게 뭔소리야ㅋㅋ 육성으로 100번 뱉었어요"
2022-10-07 13:07:56,"하하/recsys","CNN RNN 하던 시절"
2022-10-07 13:08:03,"하하/recsys","그것은 시작에 불과했음 하하"
2022-10-07 13:08:05,"./RecSys","그때가 그립읍니다"
2022-10-07 13:10:14,"하하/recsys","사진"
2022-10-07 13:10:22,"./RecSys","ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
2022-10-07 13:10:34,"하하/recsys","CNN하고 RNN할 때가 재밌는줄 알았지?"
2022-10-07 13:10:49,"하하/recsys","이모티콘"
2022-10-07 13:10:59,"멋쟁이 프로도/CV","생성모델은 진짜 어렵네요..."
2022-10-07 13:11:21,"하하/recsys","text2image/video 졸라 신기한만큼"
2022-10-07 13:11:28,"하하/recsys","졸라 어려운듯"
2022-10-07 13:30:27,"수학잘하고파/RecSys","ㅋㅋㅋㅋ 오피스 아워 열심히 들어야겠네요"
2022-10-07 13:30:58,"말하는감자/RecSys","ㅋㅋㅋㅋ"
2022-10-07 13:31:17,"말하는감자/RecSys","이번주 강의를 4일간 소화하기는 빡세네요"
2022-10-07 13:31:33,"수학잘하고파/RecSys","토일을 제외한 빨간날은 빨간색을 없애는걸로.."
2022-10-07 13:31:35,"하하/recsys","ㅇㅈ"
2022-10-07 13:31:43,"수학잘하고파/RecSys","조만간 토일도 사라지지 않을까 걱정되네요 ㅋㅋ"
2022-10-07 13:31:46,"하하/recsys","하 알고리즘 공부해야하는데"
2022-10-07 13:31:48,"하하/recsys","죽겠네 진짜"
2022-10-07 13:32:04,"하하/recsys","ㅇㅈㅇㅈ"
2022-10-07 13:32:13,"하하/recsys","근데 그러면 번아웃 온다는데 엌ㅋ"
2022-10-07 13:32:20,"하하/recsys","밸런스 어케 찾지"
2022-10-07 13:32:35,"트롤킹/CV","포기하면 편해유ㅋㅋㅋ"
2022-10-07 13:32:42,"트롤킹/CV","조금 포기하면ㅋㅋㅋ"
2022-10-07 13:32:43,"말하는감자/RecSys","5개월간은"
2022-10-07 13:32:45,"./RecSys","5개월 뒤에 찾아야 할 것 같습니다"
2022-10-07 13:32:47,"말하는감자/RecSys","밸런스 포기해야죠"
2022-10-07 13:32:48,"말하는감자/RecSys","ㅋㅋㅋ"
2022-10-07 13:39:49,"하하/recsys","ㅇㅈ"
2022-10-07 13:39:56,"하하/recsys","고3 수험생급임 ㅋ"
2022-10-07 13:41:54,"말하는감자/RecSys","고3때보다 많이 하는거같네요... ㅋㅋ"
2022-10-07 13:41:57,"말하는감자/RecSys","고3떄 공부좀 할걸"
2022-10-07 13:44:09,"수학잘하고파/RecSys","고3때보다 많이하는 것 같긴합니다"
2022-10-07 13:47:08,"하하/recsys","ㅇㅈ 이건 ㄹㅇ 취업이 걸려서 더 빡세게 하는듯 ㅋㅋㅋㅋ"
2022-10-07 13:52:56,"잉","rnn 퀴즈 2번 답이 하나의 숫자로 나오는건가요?"
2022-10-07 13:55:12,"S/CV","[1.1, 1.1, 1.1, 1.1] 형식입니다"
2022-10-07 14:22:00,"산산/recsys","컴마르"
2022-10-07 14:22:05,"산산/recsys","컴마로 나눠서 숫자 4개 쓰심 돼요"
2022-10-07 14:24:55,"멋쟁이 프로도/CV","빨간날이라고 진짜로 쉬면 큰일나더라고요"
2022-10-07 14:35:28,"말하는감자/RecSys","스몰톡 오프라인은 50명 제한이 걸려있네요,,"
2022-10-07 14:35:35,"하하/recsys","ㅇㅈ"
2022-10-07 14:36:01,"하하/recsys","ㅠㅠ"
2022-10-07 14:43:17,"ㅇㅇ/cv","거리두기 때문인가봐요"
2022-10-07 14:43:30,"ㅇㅇ/cv","트랙별 16명 정도 겠네요"
2022-10-07 14:44:03,"산산/recsys","다들 신청하셨나용"
2022-10-07 14:44:05,"ㅇㅇ/cv","다들 할수만 있다면"
